Source,Company,Job ID,Title,Location,URL,Score,First Seen,Last Seen
greenhouse,Maze Therapeutics,8318915002,"Senior Scientist I, Computational Biology	","South San Francisco, CA",http://www.mazetx.com/careers/?gh_jid=8318915002,20,2025-12-29T11:14:11+00:00,2025-12-29T11:14:11+00:00
greenhouse,Lila,4087170009,"Research Scientist, Dexterous Manipulation & Robot Learning ","Cambridge, MA USA",https://job-boards.greenhouse.io/lilasciences/jobs/4087170009,18,2025-12-29T11:14:09+00:00,2025-12-29T11:14:09+00:00
greenhouse,Beacon Biosignals,4088773009,Software Engineer IV (Tech Lead),"Boston, MA - Remote",https://job-boards.greenhouse.io/beaconbiosignals/jobs/4088773009,16,2025-12-29T11:16:40+00:00,2025-12-29T11:16:40+00:00
workday,Sanofi,/job/Cambridge-MA/Distinguished-Scientist_R2836888,Distinguished Scientist,"Cambridge, MA",https://sanofi.wd3.myworkdayjobs.com/job/Cambridge-MA/Distinguished-Scientist_R2836888,15,2025-12-29T11:16:13+00:00,2025-12-29T11:16:13+00:00
workday,Sanofi,/job/Framingham-MA/Process-Data-Engineer-III_R2826156-1,Process Data Engineer III - MSAT,"Framingham, MA",https://sanofi.wd3.myworkdayjobs.com/job/Framingham-MA/Process-Data-Engineer-III_R2826156-1,15,2025-12-29T11:16:13+00:00,2025-12-29T11:16:13+00:00
workday,Sanofi,/job/Cambridge-MA/Senior-Scientist--Advanced-Ocular-In-Vitro-Models_R2831959,"Senior Scientist, Advanced Ocular In Vitro Models","Cambridge, MA",https://sanofi.wd3.myworkdayjobs.com/job/Cambridge-MA/Senior-Scientist--Advanced-Ocular-In-Vitro-Models_R2831959,15,2025-12-29T11:16:13+00:00,2025-12-29T11:16:13+00:00
greenhouse,Flagship Pioneering,8351881002,"Scientist, LNP Formulations","Cambridge, MA USA",https://boards.greenhouse.io/flagshippioneeringinc/jobs/8351881002?gh_jid=8351881002,15,2025-12-29T11:14:10+00:00,2025-12-29T11:14:10+00:00
greenhouse,Flagship Pioneering,8351972002,"Senior Scientist I/II, Chemistry & Formulations","Cambridge, MA USA",https://boards.greenhouse.io/flagshippioneeringinc/jobs/8351972002?gh_jid=8351972002,15,2025-12-29T11:14:10+00:00,2025-12-29T11:14:10+00:00
greenhouse,Generate,4627576006,"Senior Software Engineer I, Cloud and DevOps","Somerville, MA",https://generatebiomedicines.com/open-positions?gh_jid=4627576006,15,2025-12-29T11:14:09+00:00,2025-12-29T11:14:09+00:00
workday,NVIDIA,/job/US-CA-Santa-Clara/Software-Engineer--Generative-AI-Research_JR2010593,"Software Engineer, Generative AI Research","US, CA, Santa Clara",https://nvidia.wd5.myworkdayjobs.com/job/US-CA-Santa-Clara/Software-Engineer--Generative-AI-Research_JR2010593,14,2025-12-29T11:15:18+00:00,2025-12-29T11:15:18+00:00
